PC211,chrono_876's Delphox Manectric Team,,chrono_876,,,,Delphoxite,,,Manectite,,,Choice Scarf,,,Occa Berry,,,Leftovers,,,Sitrus Berry,,https://pokepast.es/e7d6443be5f34555,Yes,Extracted,✔,6DKKHNQJE2,12 Apr 2026,-,,https://x.com/chrono_876/status/2043202748817211440?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,chrono_876,,Delphox-Mega,Manectric-Mega,Meowscarada,Corviknight,Sylveon,Garchomp,,PC211
PC210,BTrickroomZ's Floette Tyranitar Team,,Yuta Ishigaki,,,,Floettite,,,Tyranitarite,,,Sitrus Berry,,,Mental Herb,,,Leftovers,,,Soft Sand,,https://pokepast.es/cab11ff79b15e3a4,Yes,Extracted,✔,W42Q2R1R5A,12 Apr 2026,-,,https://x.com/btrickroomz/status/2043218158480470382?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,btrickroomz,,Floette-Eternal-Mega,Tyranitar-Mega,Incineroar,Sinistcha,Corviknight,Garchomp,,PC210
PC209,jessditta's Froslass Talonflame Team,,jessditta,,,,Froslassite,,,Shuca Berry,,,Focus Sash,,,Mystic Water,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/5077be670a216e97,Yes,Extracted,✔,2R24U23C9Y,12 Apr 2026,-,,https://x.com/jessditta/status/2043191843903680693?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,jessditta,,Froslass-Mega,Arcanine-Hisui,Talonflame,Palafin,Sinistcha,Kommo-o,,PC209
PC208,arcanisyt's Beedrill Corviknight Team,,arcanisyt,,,,Beedrillite,,,Sitrus Berry,,I,No Item Info,,,White Herb,,,Quick Claw,,,Focus Sash,,https://pokepast.es/f41535ed15ef1920,Yes,Extracted,✔,BEG7MC8QR8,12 Apr 2026,-,,https://x.com/arcanisyt/status/2043109992870392255?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,arcanisyt,,Beedrill-Mega,Incineroar,Milotic,Sneasler,Corviknight,Ninetales-Alola,,PC208
PC207,NatusPKMN's Meganium Sand Team,,Nate Innocenti,,,,Meganiumite,,,Tyranitarite,,,Choice Scarf,,,Sitrus Berry,,,Focus Sash,,,Leftovers,,https://pokepast.es/28e6bd5de029212d,Yes,Extracted,✔,YYFRHMKAEL,12 Apr 2026,-,,https://x.com/natuspkmn/status/2043222035996750249?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,natuspkmn,,Meganium-Mega,Tyranitar-Mega,Rotom-Heat,Gyarados,Excadrill,Corviknight,,PC207
PC206,cantfly's Floette Delphox Team,,Yuma Miyamoto,,,,Delphoxite,,,Floettite,,,Sharp Beak,,,Sitrus Berry,,,Chople Berry,,,White Herb,,https://pokepast.es/908b63d2fd320211,Yes,Extracted,✔,1FFHFFNXY7,12 Apr 2026,-,,https://x.com/cantfly_ss/status/2043248382584746370,-,-,cantfly_ss,,Delphox-Mega,Floette-Eternal-Mega,Talonflame,Sinistcha,Kingambit,Garchomp,,PC206
PC205,Ze Banded's Wide League Pokemon Champions SNR #84 Top 32 Team,,Ze Banded,,,,Aggronite,,,Dragoninite,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,Kasib Berry,,https://pokepast.es/fcfb30a7da3dd2d2,Yes,Extracted,✔,L8PGP1UNP0,12 Apr 2026,Wide League Pokemon Champions SNR #84,17th,https://x.com/ZeBanded/status/2043230528946819419?s=20,-,-,ZeBanded,,Aggron-Mega,Dragonite-Mega,Incineroar,Basculegion,Pelipper,Sinistcha,,PC205
PC204,arubega's Kangaskhan Sylveon Team,,Hiroto Hayasaki,,,,Kangaskhanite,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,Leftovers,,,White Herb,,https://pokepast.es/69636f073ab01b95,Yes,Extracted,✔,407DVGLMR3,11 Apr 2026,-,,https://x.com/arubega_poke/status/2043203066997125285?s=46,-,-,arubega_poke,,Kangaskhan-Mega,Incineroar,Basculegion,Aerodactyl,Sylveon,Garchomp,,PC204
PC203,Peters' Charizard-Y Typhlosion Team,,Pierre Castro,,,,Lum Berry,,,Charizardite Y,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Coba Berry,,https://pokepast.es/1e49a4f945e96225,Yes,Extracted,X,None,11 Apr 2026,-,,https://x.com/ad_petersvgc/status/2043153454915268906?s=46,-,-,ad_petersvgc,,Arcanine-Hisui,Charizard,Typhlosion-Hisui,Venusaur,Sneasler,Whimsicott,,PC203
PC202,Kreide1119's Crabominable Drampa Team,,Kreide1119,,,,Crabominite,,,Drampanite,,,Sitrus Berry,,,Black Glasses,,,Focus Sash,,,Bright Powder,,https://pokepast.es/87bd443c8fdfd753,Yes,Extracted,✔,TCAVQKVSGK,11 Apr 2026,-,,https://x.com/kreide1119/status/2043153825062907947?s=46,-,-,kreide1119,,Crabominable-Mega,Drampa-Mega,Azumarill,Kingambit,Hatterene,Mimikyu,,PC202
PC201,Kreide1119's Crabominable Camerupt Team,,Kreide1119,,,,Cameruptite,,,Crabominite,,,White Herb,,,Charcoal,,,Silk Scarf,,,Black Glasses,,https://pokepast.es/24a3381387dcaae5,Yes,Extracted,✔,TSJNK9S8V9,11 Apr 2026,-,,https://x.com/kreide1119/status/2043153825062907947?s=46,-,-,kreide1119,,Camerupt-Mega,Crabominable-Mega,Incineroar,Torkoal,Farigiraf,Kingambit,,PC201
PC200,realiztikvgc's Charizard-Y Whimsicott Team,,realiztikvgc,,,,Charizardite Y,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Mental Herb,,,Choice Scarf,,https://pokepast.es/8a013e06b314cf96,Yes,Extracted,✔,RD3HX81QF2,11 Apr 2026,-,,https://x.com/realiztikvgc/status/2043164719419117804?s=46,-,-,realiztikvgc,,Charizard,Incineroar,Venusaur,Sneasler,Whimsicott,Garchomp,,PC200
PC199,hii_syatyo2220's Blastoise Kommo-o Team,,hii_syatyo2220,,,,Blastoisinite,,,Charcoal,,,Leftovers,,,Fairy Feather,,,Focus Sash,,,Dragon Fang,,https://pokepast.es/2b9822af7200c33b,Yes,Extracted,X,None,11 Apr 2026,-,,https://x.com/hii_syatyo2220/status/2042911095086813210?s=46,-,-,hii_syatyo2220,,Blastoise-Mega,Talonflame,Aegislash,Sylveon,Dragapult,Kommo-o,,PC199
PC198,hiscribble's Floette HO Team,,hiscribble,,,,Floettite,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Soft Sand,,https://pokepast.es/90491f8f7d1fc1e1,Yes,Owner's,X,None,11 Apr 2026,-,,https://x.com/hiscribble/status/2043114546299056384?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,hiscribble,,Floette-Eternal-Mega,Rotom-Heat,Basculegion,Aerodactyl,Sneasler,Garchomp,,PC198
PC197,scraftita's Froslass Arcanine Team,,scraftita,,,,Froslassite,,,Sitrus Berry,,,Choice Scarf,,,White Herb,,,Focus Sash,,,Black Glasses,,https://pokepast.es/ea9b2f4f200398fb,Yes,Extracted,✔,Q1C523AGRB,11 Apr 2026,-,,https://x.com/scraftita/status/2043118213085495657?s=46,-,-,scraftita,,Froslass-Mega,Arcanine,Rotom-Wash,Sneasler,Whimsicott,Kingambit,,PC197
PC196,yassun_normal's Glimmora Skarmory Team,,yassun_normal,,,,Glimmoranite,,,Skarmorite,,,Black Belt,,,Mystic Water,,,Choice Scarf,,,Focus Sash,,https://pokepast.es/de028e96242f290b,Yes,Extracted,✔,47WNCN4VVE,11 Apr 2026,-,,https://x.com/yassun_normal/status/2042855522790256765?s=46,-,-,yassun_normal,,Glimmora-Mega,Skarmory-Mega,Arcanine,Basculegion-F,Vanilluxe,Garchomp,,PC196
PC195,4milkfang's Charizard-Y Garchomp Team,,4milkfang,,,,Charizardite Y,,,Sitrus Berry,,,Leftovers,,,White Herb,,,Focus Sash,,,Choice Scarf,,https://pokepast.es/826a98c2e8ea3c07,Yes,Extracted,✔,HJUV9QP8U2,11 Apr 2026,-,,https://x.com/4milkfang/status/2043131032380358902?s=46,-,-,4milkfang,,Charizard,Incineroar,Rotom-Wash,Sneasler,Whimsicott,Garchomp,,PC195
PC194,Steven Sarumi's Dragonite Pelipper Team,,Steven Sarumi,,,,Dragoninite,,,Mystic Water,,,Focus Sash,,,White Herb,,,Sitrus Berry,,,Bright Powder,,https://pokepast.es/3f37ead9585e8a0d,Yes,Extracted,✔,81VFECDER0,11 Apr 2026,-,,https://x.com/pkmncast/status/2043146132453212417?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,pkmncast,,Dragonite-Mega,Basculegion,Pelipper,Sneasler,Clefable,Kingambit,,PC194
PC193,trueburna's Floette Aerodactyl Team,,trueburna,,,,Floettite,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Kasib Berry,,,Lum Berry,,https://pokepast.es/de556a6094e5bc78,Yes,Extracted,✔,WJVPYTWWFW,11 Apr 2026,-,,https://x.com/trueburna/status/2043131382323388720?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,trueburna,,Floette-Eternal-Mega,Incineroar,Aerodactyl,Sneasler,Sinistcha,Garchomp,,PC193
PC192,LuixenS' Froslass Milotic Team,,LuixenS,,,,Froslassite,,,Sitrus Berry,,,Leftovers,,,Focus Sash,,,Haban Berry,,,Choice Scarf,,https://pokepast.es/16bc17a50c39db80,Yes,Extracted,✔,KJG32JJMSF,11 Apr 2026,-,,https://x.com/LuixenS/status/2043107664184463844?s=20,-,-,LuixenS,,Froslass-Mega,Incineroar,Milotic,Meowscarada,Altaria,Garchomp,,PC192
PC191,Atalanta's Blastoise Sableye Team,,Atalanta,,,,Blastoisinite,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Roseli Berry,,,Chople Berry,,https://pokepast.es/a5b19318b63b27ae,Yes,Owner's,✔,ELYPF6YCMG,11 Apr 2026,-,,https://x.com/WandaLi11688951/status/2043106509056315753?s=20,-,-,WandaLi11688951,,Blastoise-Mega,Basculegion,Aerodactyl,Sneasler,Sableye,Kingambit,,PC191
PC190,bombstar13's Froslass Corviknight Team,,bombstar13,,,,Froslassite,,,Sitrus Berry,,,Focus Sash,,,Leftovers,,,Black Belt,,,Yache Berry,,https://pokepast.es/c2555898c9ae40fa,Yes,Extracted,✔,RDL49759RH,11 Apr 2026,-,,https://x.com/bombstar13/status/2043093346017837228?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,bombstar13,,Froslass-Mega,Incineroar,Whimsicott,Sinistcha,Corviknight,Garchomp,,PC190
PC189,arcanisyt's Blastoise Rain Team,,arcanisyt,,,,Blastoisinite,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Colbur Berry,,,Choice Scarf,,https://pokepast.es/41962a07e0a79577,Yes,Extracted,✔,GJKPJNFG0D,11 Apr 2026,-,,https://x.com/arcanisyt/status/2043004839022514208?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,arcanisyt,,Blastoise-Mega,Incineroar,Pelipper,Sneasler,Sinistcha,Archaludon,,PC189
PC188,iona_rosesrc's Meganium Rain Team,,iona_rosesrc,,,,Meganiumite,,,Sitrus Berry,,,Mystic Water,,,Focus Sash,,,White Herb,,,Yache Berry,,https://pokepast.es/83f0a9eebb8d72f8,Yes,Extracted,✔,PPQVHU2R0T,11 Apr 2026,-,,https://x.com/iona_rosesrc/status/2043062137984024914?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,iona_rosesrc,,Meganium-Mega,Incineroar,Basculegion,Pelipper,Archaludon,Dragonite,,PC188
PC187,Cybertron's Charizard-Y Venusaur Team,,Aaron Zheng,,,,Charizardite Y,,,Sitrus Berry,,,Leftovers,,,Focus Sash,,,White Herb,,,Choice Scarf,,https://pokepast.es/eba375a651993e65,Yes,Owner's,✔,NFVS4SYCW2,11 Apr 2026,Video,,https://youtu.be/iqbvIZC4uvc?si=h9eqY7D-rC_688w8,-,-,CybertronVGC,,Charizard,Incineroar,Rotom-Wash,Venusaur,Sneasler,Garchomp,,PC187
PC186,steffivgc_'s Tyranitar Venusaur Team,,steffivgc_,,,,Tyranitarite,,,Venusaurite,,,Sitrus Berry,,,Choice Scarf,,,Leftovers,,,Focus Sash,,https://pokepast.es/07e86280fd276e97,Yes,Extracted,✔,FM2D35X1XX,11 Apr 2026,-,,Discord Submission,-,-,Manual Entry,,Tyranitar-Mega,Venusaur-Mega,Incineroar,Typhlosion-Hisui,Milotic,Whimsicott,,PC186
PC185,cona's Garchomp Charizard-Y Team,,Hiroshi Onishi,,,,Garchompite,,,Charizardite Y,,,Focus Sash,,,Sitrus Berry,,,Leftovers,,,Choice Scarf,,https://pokepast.es/babc89689cb69002,Yes,Extracted,✔,VGUW4A95ML,11 Apr 2026,-,,https://x.com/cona_5757/status/2042991946524991816?s=20,-,-,cona_5757,,Garchomp-Mega,Charizard,Tyranitar,Sinistcha,Corviknight,Gardevoir,,PC185
PC184,shopoke0527's Tyranitar Meowstic Team,,shopoke0527,,,,Floettite,,,Tyranitarite,,,Sitrus Berry,,,Focus Sash,,,Mental Herb,,,Choice Scarf,,https://pokepast.es/102a7ea71cf4ab5d,Yes,Extracted,✔,VD46X09RCX,11 Apr 2026,-,,https://x.com/shopoke0527/status/2042987233637277773?s=20,-,-,shopoke0527,,Floette-Eternal-Mega,Tyranitar-Mega,Milotic,Excadrill,Meowstic,Archaludon,,PC184
PC183,barudoru's Blastoise Typhlosion Team,,Ryota Otsubo,,,,Blastoisinite,,,Glimmoranite,,,Charcoal,,,Choice Scarf,,,Focus Sash,,,Sitrus Berry,,https://pokepast.es/2271086a7f85cbe4,Yes,Extracted,✔,6G6JBSA141,11 Apr 2026,-,,https://x.com/barudoru/status/2042911836220358926?s=20,-,-,barudoru,,Blastoise-Mega,Glimmora-Mega,Typhlosion,Tsareena,Whimsicott,Sinistcha,,PC183
PC182,dodoriosiriru's Drampa Trick Room Team,,Hijito Kihara,,,,Drampanite,,,Sitrus Berry,,,Charcoal,,,Mystic Water,,,Soft Sand,,,Mental Herb,,https://pokepast.es/4121a3e9b42f6b15,Yes,Extracted,✔,G292MKV520,10 Apr 2026,-,,https://x.com/dodoriosiriru/status/2042832257854152979?s=20,-,-,dodoriosiriru,,Drampa-Mega,Incineroar,Torkoal,Primarina,Mudsdale,Mimikyu,,PC182
PC181,Miquel Nicolau Gómez's Gyarados Raichu Team,,Miquel Nicolau Gómez,,,,Gyaradosite,,,Bright Powder,,,Focus Sash,,,Sitrus Berry,,,Chople Berry,,,White Herb,,https://pokepast.es/343421d5146f8f38,Yes,Extracted,✔,0W86A4K0UP,11 Apr 2026,-,,https://x.com/torao_law97/status/2042981137031516578?s=20,-,-,torao_law97,,Gyarados-Mega,Talonflame,Raichu,Sinistcha,Kingambit,Garchomp,,PC181
PC180,kato_shohei's Floette Delphox Team,,kato_shohei,,,,Delphoxite,,,Floettite,,,Sitrus Berry,,,Focus Sash,,,Leftovers,,,Choice Scarf,,https://pokepast.es/dbfd1810399e619e,Yes,Extracted,✔,7R3UGG8WF5,11 Apr 2026,-,,https://x.com/kato_shohei/status/2042897571983822955?s=20,-,-,kato_shohei,,Delphox-Mega,Floette-Eternal-Mega,Incineroar,Basculegion,Corviknight,Garchomp,,PC180
PC179,ZeroBlaze_'s Froslass Snow Team,,ZeroBlaze_,,,,Froslassite,,,Sitrus Berry,,,Choice Scarf,,,White Herb,,,Leftovers,,,Focus Sash,,https://pokepast.es/570cc833c82ec193,Yes,Extracted,✔,43AAH2KMRA,11 Apr 2026,-,,https://x.com/ZeroBlaze_/status/2042933098342486515?s=20,-,-,ZeroBlaze_,,Froslass-Mega,Incineroar,Basculegion,Sneasler,Sinistcha,Ninetales-Alola,,PC179
PC178,homura_kurenai_'s Tera Challenge Daily #3 Champion Team,,homura_kurenai_,,,,Delphoxite,,,Floettite,,,Focus Sash,,,White Herb,,,Chople Berry,,,Sitrus Berry,,https://pokepast.es/d4a4030826913c70,Yes,Extracted,✔,YJGBJARH4E,11 Apr 2026,Tera Challenge Daily #3,Champion,https://x.com/homura_kurenai_/status/2042972144607596685?s=20,-,-,homura_kurenai_,,Delphox-Mega,Floette-Eternal-Mega,Aerodactyl,Sneasler,Maushold-Four,Garchomp,,PC178
PC177,alcana's Charizard-Y Mamoswine Team,,Kiwamu Endo,,,,Charizardite Y,,,Choice Scarf,,,Focus Sash,,,Never-Melt Ice,,,Chople Berry,,,Sitrus Berry,,https://pokepast.es/25330b8968a05978,Yes,Extracted,✔,2CGX6EHTMS,11 Apr 2026,-,,https://x.com/alcana_10906/status/2042973523849941490?s=20,-,-,alcana_10906,,Charizard,Rotom-Wash,Aerodactyl,Mamoswine,Kingambit,Garchomp,,PC177
PC176,YURIN's Charizard-Y Gardevoir Team,,YURIN,,,,Gardevoirite,,,Charizardite Y,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Chople Berry,,https://pokepast.es/3fba1f048655851c,Yes,Extracted,✔,23D6XQHLL1,11 Apr 2026,-,,https://x.com/yurin_625/status/2042904089189847180?s=20,-,-,yurin_625,,Gardevoir-Mega,Charizard,Basculegion,Aerodactyl,Sneasler,Maushold-Four,,PC176
PC175,Redsilver's Gardevoir Corviknight Team,,Hippolyte Bernard,,,,Gardevoirite,,,Chesto Berry,,,Choice Scarf,,,Sitrus Berry,,,Leftovers,,,White Herb,,https://pokepast.es/edc6b8b9df82db35,Yes,Extracted,✔,RXPJBK2A1F,11 Apr 2026,-,,https://x.com/RedsilverFR/status/2042886406217838806?s=20,-,-,RedsilverFR,,Gardevoir-Mega,Incineroar,Rotom-Wash,Sinistcha,Corviknight,Garchomp,,PC175
PC174,Naniromaaa's Charizard-Y Sableye Team,,Naniromaaa,,,,Charizardite Y,,,Sitrus Berry,,,Roseli Berry,,,Focus Sash,,,Choice Scarf,,,White Herb,,https://pokepast.es/9da15af3c724e153,Yes,Extracted,✔,8L2BSP4DF7,11 Apr 2026,-,,https://x.com/Naniromaaa/status/2042988316950172091?s=20,-,-,Naniromaaa,,Charizard,Milotic,Sableye,Espathra,Gardevoir,Garchomp,,PC174
PC173,GustavoMVP_'s Gengar Gallade Team,,GustavoMVP_,,,,Gengarite,,,Sitrus Berry,,,Focus Sash,,,Scope Lens,,,Leftovers,,,Quick Claw,,https://pokepast.es/9239c58e82ca958a,Yes,Extracted,✔,G0WB5RENAT,11 Apr 2026,-,,https://x.com/GustavoMVP_/status/2042878027617501283?s=20,-,-,GustavoMVP_,,Gengar-Mega,Incineroar,Basculegion,Gallade,Whimsicott,Aegislash,,PC173
PC172,rainrmn's Starmie Hydreigon Team,,rainrmn,,,,Starminite,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Soft Sand,,,Choice Scarf,,https://pokepast.es/17821956e5f6461b,Yes,Extracted,✔,MR44BPEF7X,11 Apr 2026,-,,https://x.com/rainrmn/status/2042945020987347328?s=20,-,-,rainrmn,,Starmie-Mega,Incineroar,Pelipper,Sneasler,Garchomp,Hydreigon,,PC172
PC171,Jaylun's Tyranitar Sinistcha Team,,Yang Chieh-Lun,,,,Tyranitarite,,,Sitrus Berry,,,Focus Sash,,,White Herb,,,Fairy Feather,,,Colbur Berry,,https://pokepast.es/558097d675c2f2ff,Yes,Owner's,✔,2KEF69HSEJ,11 Apr 2026,Video,,https://x.com/Jaylun44/status/2042906047518773522?s=20,https://youtu.be/Jp5Prs_FKq4?si=kncsoSF3t8a5u-fq,-,Jaylun44,,Tyranitar-Mega,Gyarados,Excadrill,Sneasler,Whimsicott,Sinistcha,,PC171
PC170,kurbito's Delphox Aerodactyl Team,,kurbito,,,,Delphoxite,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Black Glasses,,,Roseli Berry,,https://pokepast.es/b7b6810f8d31fdba,Yes,Extracted,✔,59NK0UCQAT,11 Apr 2026,-,,https://x.com/Kurbitoo/status/2042938419177824297?s=20,-,-,Kurbitoo,,Delphox-Mega,Rotom-Wash,Aerodactyl,Sneasler,Kingambit,Garchomp,,PC170
PC169,Light_88_'s Floette Rain Team,,Light_88_,,,,Floettite,,,Lum Berry,,,Focus Sash,,,White Herb,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/d9994bf1fdfdd0c8,Yes,Extracted,✔,LLMX4RCR24,9 Apr 2026,-,,https://x.com/Light_88_/status/2042380061228101793?s=20,-,-,Light_88_,,Floette-Eternal-Mega,Incineroar,Pelipper,Sneasler,Sinistcha,Archaludon,,PC169
PC168,soulkw's Feraligatr Scizor Team,,soulkw,,,,Feraligite,,,Shuca Berry,,,Choice Scarf,,,White Herb,,,Focus Sash,,,Metal Coat,,https://pokepast.es/b4c3afadc45a8b98,Yes,Extracted,✔,2QHQN1BWUQ,11 Apr 2026,-,,Discord Submission,https://youtu.be/vee8cu00lyk?si=HDdV-rlRaJZD47yE,-,Manual Entry,,Feraligatr-Mega,Arcanine,Meowscarada,Sneasler,Gengar,Scizor,,PC168
PC167,Freezai's Floette Aerodactyl Team,,Bhushan Thumsi,,,,Floettite,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Haban Berry,,https://pokepast.es/c61b25a165d0052e,Yes,Extracted,✔,VPSYBQ1JSU,11 Apr 2026,Video,,https://x.com/freezaiYT/status/2042958678999887889,youtu.be/9Ezu2ueOkJU,-,freezaiYT,,Floette-Mega,Incineroar,Basculegion,Aerodactyl,Sneasler,Garchomp,,PC167
PC166,Desu's Ninopokebros Pokemon Champions First Tour Top 8 Team,,Nico Davide Cognetta,,,,Floettite,,,Tyranitarite,,,Chople Berry,,,Leftovers,,,Focus Sash,,,Sitrus Berry,,https://pokepast.es/92705bdb544f0d43,Yes,Extracted,✔,P0CAKQ4QHU,10 Apr 2026,Ninopokebros Pokemon Champions First Tour,Top 8,https://x.com/DesuVGC/status/2042832103490937053,-,-,DesuVGC,,Floette-Eternal-Mega,Tyranitar-Mega,Incineroar,Rotom-Wash,Excadrill,Sinistcha,,PC166
PC165,breasoy's Tyranitar Excadrill Team,,breasoy,,,,Tyranitarite,,,Sitrus Berry,,,Wacan Berry,,,Focus Sash,,,Leftovers,,,Choice Scarf,,https://pokepast.es/5b428e2b50449d1c,Yes,Extracted,✔,GV3VD9L92L,10 Apr 2026,-,,https://x.com/breasoy/status/2042566390285062350?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,breasoy,,Tyranitar-Mega,Incineroar,Milotic,Excadrill,Corviknight,Gardevoir,,PC165
PC164,Wolfey's Froslass Orthworm Team,,Wolfe Glick,,,,Froslassite,,,Lum Berry,,,Choice Scarf,,,Never-Melt Ice,,,Sitrus Berry,,,Focus Sash,,https://pokepast.es/7f6a53c93418a5c2,Yes,Extracted,✔,7S7RENU9B9,10 Apr 2026,Video,,https://youtu.be/P3txtowxpeo?si=cnb29XLHZp7DkCT5,-,-,WolfeyGlick,,Froslass-Mega,Incineroar,Basculegion,Rotom-Frost,Orthworm,Garchomp,,PC164
PC163,maddyinaction's Floette Rain Team,,maddyinaction,,,,Floettite,,,Lum Berry,,,Mystic Water,,,Focus Sash,,,White Herb,,,Sitrus Berry,,https://pokepast.es/6dedd7e718250026,Yes,Extracted,✔,STX0U8E6LC,10 Apr 2026,-,,https://x.com/maddyinaction/status/2042836542679331215?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,maddyinaction,,Floette-Eternal-Mega,Incineroar,Basculegion,Pelipper,Sneasler,Archaludon,,PC163
PC162,iwillthegamer's Tyranitar Corviknight Team,,iwillthegamer,,,,Tyranitarite,,,Shuca Berry,,,Leftovers,,,Focus Sash,,,Sitrus Berry,,,Occa Berry,,https://pokepast.es/337b27749e974d60,Yes,Extracted,✔,71EFL6W6L3,10 Apr 2026,-,,https://x.com/iwillthegamer/status/2042843084929618125?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,iwillthegamer,,Tyranitar-Mega,Incineroar,Rotom-Wash,Excadrill,Sinistcha,Corviknight,,PC162
PC161,itoranotikubi's Gengar Rain Team,,itoranotikubi,,,,Gengarite,,,Scizorite,,,Mystic Water,,,Focus Sash,,,Sitrus Berry,,,Leftovers,,https://pokepast.es/cab775330d8f2b6e,Yes,Extracted,✔,FJ7FELPX4N,10 Apr 2026,-,,https://x.com/itoranotikubi/status/2042841193898549638?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,itoranotikubi,,Gengar-Mega,Scizor-Mega,Basculegion,Pelipper,Politoed,Archaludon,,PC161
PC160,cyaksgaming's Floette Maushold Team,,cyaksgaming,,,,Floettite,,,Sitrus Berry,,,White Herb,,,Focus Sash,,,Leftovers,,,Soft Sand,,https://pokepast.es/fc8842f0244f1f87,Yes,Extracted,✔,BA37BS0FJS,10 Apr 2026,-,,https://x.com/cyaksgaming/status/2042799974946111785?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,cyaksgaming,,Floette-Eternal-Mega,Incineroar,Sneasler,Maushold-Four,Sinistcha,Garchomp,,PC160
PC159,Rinya's Aerodactyl Kingambit Team,,Rinya Kobayashi,,,,Aerodactylite,,,Leftovers,,,Focus Sash,,,Chople Berry,,,Choice Scarf,,,Sitrus Berry,,https://pokepast.es/980a4ae01d83406b,Yes,Extracted,✔,SS3UAA7KNY,10 Apr 2026,-,,https://x.com/gozira2004/status/2042825595512590790?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,gozira2004,,Aerodactyl-Mega,Rotom-Wash,Sneasler,Kingambit,Archaludon,Garchomp,,PC159
PC158,platano_power_420's Glimmora Sand Team,,platano_power_420,,,,Glimmoranite,,,Sitrus Berry,,,Focus Sash,,,Chople Berry,,,Lum Berry,,,Leftovers,,https://pokepast.es/bbd3da26c5df884e,Yes,Extracted,✔,AA4LM166CH,10 Apr 2026,-,,Discord Submission,-,-,Manual Entry,,Glimmora-Mega,Milotic,Excadrill,Tyranitar,Sinistcha,Corviknight,,PC158
PC157,Magnetman's Floette Tyranitar Team,,Adryan Sutantoso,,,,Floettite,,,Tyranitarite,,,Chople Berry,,,Sitrus Berry,,,Focus Sash,,,Leftovers,,https://pokepast.es/95bf339fa7e2de70,Yes,Extracted,✔,GFYA388PVY,10 Apr 2026,-,,https://x.com/magnetmanvgc/status/2042817277247262903?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,magnetmanvgc,,Floette-Eternal-Mega,Tyranitar-Mega,Incineroar,Rotom-Wash,Excadrill,Sinistcha,,PC157
PC156,Hector Hurtado's Froslass Milotic Team,,Hector Hurtado,,,,Froslassite,,,Leftovers,,,White Herb,,,Focus Sash,,,Black Glasses,,,Choice Scarf,,https://pokepast.es/5eb4181fe97402b7,Yes,Extracted,✔,1W3PTG2KS3,10 Apr 2026,-,,https://x.com/gamesblackstorm/status/2042796789158334741?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,gamesblackstorm,,Froslass-Mega,Milotic,Sneasler,Whimsicott,Kingambit,Garchomp,,PC156
PC155,shuuka_poke's Floette Kingambit Team,,shuuka_poke,,,,Floettite,,,Sitrus Berry,,,Choice Scarf,,,Focus Sash,,,White Herb,,,Chople Berry,,https://pokepast.es/da07f453b16a25e8,Yes,Extracted,✔,4Y8SYLV3EU,10 Apr 2026,-,,https://x.com/shuuka_poke/status/2042791494122410232?s=46&t=WmXEnVa3rTSw0P9A0n6S3Q,-,-,shuuka_poke,,Floette-Eternal-Mega,Incineroar,Basculegion,Aerodactyl,Sneasler,Kingambit,,PC155
